position_x_0,position_y_0,position_z_0,position_x_1,position_y_1,position_z_1,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8
,,,,,,-0.1749903,-1.0477993,3.272553,1.1643298,-1.6034176,3.1411107,0.087266445,2.5179765
,,,,,,-0.16799381,-1.0479233,3.2690775,1.1652026,-1.5908791,3.1412113,0.087266445,2.518922
,,,,,,-0.17144516,-1.0480233,3.2620826,1.164989,-1.597581,3.1406806,0.087266445,2.517616
,,,,,,-0.17426836,-1.0478475,3.278395,1.1650491,-1.6004021,3.1413825,0.087266445,2.5213928
,,,,,,-0.17171532,-1.0478349,3.2708793,1.1645521,-1.5979764,3.1410205,0.087266445,2.5159762
,,,,,,-0.16828239,-1.0479274,3.26884,1.1655651,-1.5924355,3.1410997,0.087266445,2.5252464
,,,,,,-0.1706987,-1.0478876,3.251015,1.163362,-1.5945826,3.1414077,0.087266445,2.5274525
,,,,,,-0.17113695,-1.0483669,3.272433,1.1628903,-1.5967699,3.1409132,0.087266445,2.5232868
,,,,,,-0.17820123,-1.0478688,3.2769573,1.1631627,-1.6061502,3.141318,0.087266445,2.5166907
,,,,,,-0.16721836,-1.0476995,3.261792,1.1681651,-1.5899575,3.1413949,0.087266445,2.5264456
,,,,,,-0.17406103,-1.0482588,3.266087,1.1649687,-1.6006634,3.1407926,0.087266445,2.5222602
,,,,,,-0.17738631,-1.0480065,3.2624424,1.165458,-1.6060834,3.1408656,0.087266445,2.516846
,,,,,,-0.17765948,-1.0476435,3.258617,1.1680433,-1.6058598,3.1414363,0.087266445,2.5284147
,,,,,,-0.17336923,-1.0478163,3.2656803,1.1668787,-1.5995057,3.141352,0.087266445,2.5266936
,,,,,,-0.16964474,-1.0477953,3.2716334,1.1649811,-1.5937667,3.1414497,0.087266445,2.5302045
,,,,,,-0.17625305,-1.0478052,3.272007,1.1669178,-1.6032046,3.1413944,0.087266445,2.5236344
,,,,,,-0.17378482,-1.0479083,3.2622783,1.1662688,-1.599671,3.1409729,0.087266445,2.5163934
,,,,,,-0.16850677,-1.0478107,3.2720714,1.1662022,-1.5919571,3.1413095,0.087266445,2.5231
,,,,,,-0.17155543,-1.0478494,3.26557,1.167352,-1.5977793,3.1411846,0.087266445,2.5251226
,,,,,,-0.17762613,-1.0478308,3.2653444,1.1646533,-1.6064618,3.141178,0.087266445,2.5181806
,,,,,,-0.16855308,-1.0478661,3.2760305,1.1652848,-1.5939689,3.1412518,0.087266445,2.5241747
,,,,,,-0.16491604,-1.048041,3.2500577,1.1607674,-1.5850849,3.1411746,0.087266445,2.5246437
,,,,,,-0.1687926,-1.048038,3.2721634,1.1646087,-1.5921812,3.1411912,0.087266445,2.5239487
,,,,,,-0.17095405,-1.0480664,3.2691872,1.1650393,-1.5951974,3.1412714,0.087266445,2.52865
,,,,,,-0.17391962,-1.0478323,3.269218,1.166726,-1.600875,3.1413329,0.087266445,2.5252395
,,,,,,-0.16920957,-1.047777,3.2680595,1.1658018,-1.5928257,3.1413043,0.087266445,2.5308928
,,,,,,-0.17036167,-1.048105,3.2723947,1.1652658,-1.5962172,3.140857,0.087266445,2.5225189
,,,,,,-0.1676498,-1.0478551,3.2753181,1.1644676,-1.5926858,3.1410968,0.087266445,2.5194888
,,,,,,-0.16863239,-1.0480194,3.2684453,1.164633,-1.5930393,3.1411502,0.087266445,2.5171008
,,,,,,-0.16779044,-1.0476338,3.2458396,1.1703482,-1.5892102,3.141505,0.087266445,2.5474
,,,,,,-0.1796686,-1.0477271,3.2701063,1.1651921,-1.6077617,3.141435,0.087266445,2.5240078
,,,,,,-0.17161188,-1.0478764,3.2736871,1.1645626,-1.5976037,3.1412375,0.087266445,2.5179904
,,,,,,-0.16818917,-1.0479621,3.2711926,1.165858,-1.5929257,3.1411726,0.087266445,2.5303242
,,,,,,-0.16630831,-1.0479864,3.253984,1.1644342,-1.5880113,3.141083,0.087266445,2.5234668
,,,,,,-0.16820878,-1.0477874,3.2684727,1.1663054,-1.5930719,3.1411574,0.087266445,2.5202909
,,,,,,-0.17703015,-1.047749,3.2599268,1.1675864,-1.6047307,3.1413796,0.087266445,2.523995
,,,,,,-0.1743136,-1.0480155,3.2683995,1.1653837,-1.6009762,3.1408312,0.087266445,2.5190623
,,,,,,-0.16344053,-1.047769,3.2739327,1.1664541,-1.5850184,3.141401,0.087266445,2.526608
,,,,,,-0.17401189,-1.0484331,3.270155,1.1640453,-1.601486,3.140628,0.087266445,2.5178628
,,,,,,-0.17654926,-1.0475887,3.2694032,1.1660962,-1.6050682,3.1414049,0.087266445,2.5180304
,,,,,,-0.16708305,-1.0478389,3.2789006,1.1646427,-1.5884731,3.1413414,0.087266445,2.5294266
,,,,,,-0.1739819,-1.048039,3.275891,1.1623662,-1.6000812,3.1411908,0.087266445,2.518796
,,,,,,-0.17618921,-1.0479295,3.2664917,1.1660299,-1.6041249,3.141065,0.087266445,2.518941
,,,,,,-0.17858037,-1.0480139,3.273367,1.1616044,-1.6078842,3.1411583,0.087266445,2.5161858
,,,,,,-0.1685496,-1.0477955,3.2635498,1.1636152,-1.5913227,3.1412742,0.087266445,2.5285385
,,,,,,-0.17265669,-1.047869,3.2754104,1.1648765,-1.5993173,3.1411955,0.087266445,2.5213442
,,,,,,-0.16590533,-1.0477166,3.2809734,1.1664476,-1.5884929,3.1414506,0.087266445,2.5349278
,,,,,,-0.17142564,-1.0483344,3.2682912,1.1646862,-1.5978217,3.14095,0.087266445,2.5246222
,,,,,,-0.16747126,-1.0479487,3.257182,1.167478,-1.5895505,3.141289,0.087266445,2.5253918
,,,,,,-0.17267689,-1.047728,3.2682333,1.1682116,-1.597105,3.1415126,0.087266445,2.537108
,,,,,,-0.17542875,-1.0478754,3.2579906,1.165173,-1.5996325,3.1414263,0.087266445,2.5274262
,,,,,,-0.17325196,-1.0476959,3.2629068,1.1658653,-1.5998116,3.1414106,0.087266445,2.531048
,,,,,,-0.18021613,-1.0479908,3.272339,1.16284,-1.6098267,3.1408904,0.087266445,2.5130105
,,,,,,-0.1655466,-1.0480001,3.2730122,1.1643516,-1.589516,3.1407607,0.087266445,2.524876
,,,,,,-0.17551556,-1.047916,3.2683682,1.1650662,-1.6030481,3.1412857,0.087266445,2.5250878
,,,,,,-0.17117012,-1.0476909,3.270002,1.1669093,-1.5974957,3.1413772,0.087266445,2.5267565
,,,,,,-0.18234432,-1.0477291,3.2700293,1.1639259,-1.612014,3.1413248,0.087266445,2.514769
,,,,,,-0.1761995,-1.0478362,3.2624135,1.166388,-1.6034985,3.1411831,0.087266445,2.518406
,,,,,,-0.17308843,-1.0477499,3.2647078,1.1669519,-1.5980344,3.1412413,0.087266445,2.5261383
,,,,,,-0.17157269,-1.0478076,3.2638745,1.1661462,-1.5964711,3.1412818,0.087266445,2.516412
,,,,,,-0.16959217,-1.0484985,3.2751632,1.1635383,-1.5951583,3.1406295,0.087266445,2.5268898
