position_x_0,position_y_0,position_z_0,position_x_1,position_y_1,position_z_1,position_x,position_y,position_z,position_x_end,position_y_end,position_z_end
6.746466,-1.1958574,0.19387318,10.487621,-1.3729997,0.007123169,7.1954045,-1.2171144,0.17146318,0.8898117,-0.91854703,0.4862241
6.969134,-1.8567169,0.33492392,10.713903,-2.0326726,0.24415359,7.418506,-1.8778316,0.3240315,1.1068214,-1.5812639,0.47702187
6.86161,-1.598827,0.45124456,10.608142,-1.623645,0.29193667,7.3111935,-1.6018051,0.4321276,0.9965381,-1.5599753,0.70063573
6.6259923,-1.2730458,0.17303656,10.345331,-1.2865272,-0.3053292,7.072313,-1.2746636,0.115632676,0.8034907,-1.2519412,0.9219022
7.0384283,-1.1795485,0.46069387,10.773699,-1.293257,0.14872138,7.4866605,-1.1931936,0.42325717,1.1909871,-1.0015416,0.9490764
6.8375587,-1.5086992,0.17878015,10.560011,-1.5972894,-0.26619837,7.284253,-1.51933,0.12538274,1.010185,-1.3700141,0.8753792
6.880314,-1.3360604,0.48099318,10.58854,-1.5217407,-0.045389164,7.325301,-1.358342,0.4178273,1.0752088,-1.045384,1.3050272
7.1207256,-1.210582,0.5178729,10.868314,-1.3109086,0.42830923,7.5704365,-1.2226212,0.5071253,1.2540023,-1.053524,0.65808195
7.166865,-1.4724398,0.32205784,10.916609,-1.4908587,0.36180907,7.616834,-1.47465,0.326828,1.2967653,-1.4436055,0.25982863
6.98797,-1.286479,0.2812429,10.737801,-1.2715234,0.2488587,7.4379497,-1.2846843,0.2773568,1.1177356,-1.3098915,0.33193928
7.3099904,-1.4052728,0.21141218,11.05987,-1.4173796,0.18379606,7.759976,-1.4067256,0.20809823,1.4396803,-1.38632,0.25464427
7.2248473,-1.421943,0.58593374,10.968287,-1.5984007,0.45169142,7.67406,-1.4431179,0.5698247,1.364617,-1.1457043,0.79608566
7.085455,-1.2406889,0.35813457,10.835428,-1.2344251,0.370832,7.5354514,-1.2399373,0.35965827,1.2149966,-1.2504948,0.33825716
7.0566506,-1.5753562,0.39061546,10.80665,-1.57466,0.38954052,7.5066504,-1.5752727,0.39048645,1.1861508,-1.5764462,0.3922982
