position_x_0,position_y_0,position_z_0,position_x_1,position_y_1,position_z_1,position_x,position_y,position_z,position_x_end,position_y_end,position_z_end
8.199521,-1.8788475,0.46030962,11.949469,-1.8807311,0.4405694,8.649515,-1.8790735,0.4579408,2.3291032,-1.8758988,0.49121225
7.303886,-1.3982556,0.39809516,11.033957,-1.1794388,0.07998555,7.7514944,-1.3719976,0.359922,1.4645851,-1.7408059,0.8960851
7.6356864,-1.3504329,0.46327475,11.345793,-1.1960263,-0.059954897,8.080899,-1.3319042,0.40048718,1.8276386,-1.5921513,1.2823733
6.8462276,-1.6324708,0.51803696,10.594151,-1.6696455,0.6371689,7.295978,-1.6369318,0.5323328,0.9789793,-1.574275,0.3315399
7.8384566,-1.2370188,0.4799571,11.584747,-1.3999135,0.4443388,8.288012,-1.2565662,0.4756829,1.9737628,-0.9820125,0.53571635
7.0821753,-1.1881881,0.56787306,10.827668,-1.1464341,0.3888827,7.5316343,-1.1831776,0.5463942,1.2187306,-1.2535526,0.8480765
8.300841,-1.8976935,0.49986526,12.045947,-1.9763764,0.67449874,8.750255,-1.9071355,0.5208213,2.4380045,-1.7745181,0.22648236
6.9040923,-1.719912,0.5668081,10.653219,-1.714282,0.486111,7.3539877,-1.7192364,0.55712444,1.0349582,-1.7287257,0.69313675
7.8983445,-1.9099702,0.09583841,11.618085,-2.139376,-0.320575,8.344713,-1.9374989,0.045868803,2.075214,-1.5508432,0.7477197
8.019744,-1.6020021,0.49940008,11.759309,-1.4950873,0.24109676,8.468492,-1.5891724,0.4684037,2.1655788,-1.7693735,0.9037653
7.5028033,-1.5367444,0.28028613,11.232684,-1.6884047,-0.07676733,7.950389,-1.5549436,0.2374397,1.6637989,-1.2993253,0.8392414
7.850731,-1.8439232,0.08528918,11.598902,-1.888945,-0.022833241,8.300511,-1.8493259,0.07231449,1.9830946,-1.7734431,0.25455123
7.0433,-1.2591726,0.32748747,10.769002,-1.5905641,0.05947681,7.4903846,-1.2989395,0.29532617,1.2108392,-0.74039,0.7470492
7.172092,-1.1390853,0.08304354,10.881188,-1.375469,-0.41618207,7.6171837,-1.1674513,0.023136461,1.3656253,-0.76903445,0.8645646
7.931483,-1.2216812,0.38464698,11.648944,-1.0627058,-0.081947245,8.377579,-1.2026042,0.32865566,2.1119215,-1.4705521,1.1150846
6.915748,-1.8091336,0.18574278,10.663091,-1.790315,0.045846857,7.365429,-1.8068753,0.16895528,1.0494084,-1.8385934,0.4047452
7.677608,-1.3984417,0.17076999,11.423843,-1.430965,0.005962001,8.127156,-1.4023445,0.15099302,1.8130014,-1.3475277,0.42877138
6.9741454,-1.8302085,0.22134158,10.723152,-1.8728446,0.14629462,7.4240265,-1.8353249,0.21233594,1.1052009,-1.7634633,0.33882508
7.51952,-1.7905644,0.33727154,11.266993,-1.8731965,0.22717275,7.9692163,-1.8004802,0.3240597,1.6529765,-1.6612066,0.5096276
7.867206,-1.7127972,0.22746459,11.601004,-1.7220478,-0.12063161,8.315262,-1.7139072,0.18569304,2.0220704,-1.6983156,0.7723976
8.343465,-1.6611003,0.39275494,12.092348,-1.715508,0.31916437,8.793331,-1.6676292,0.38392407,2.4747138,-1.575927,0.50795853
6.76681,-1.443214,0.515846,10.516685,-1.4532897,0.5448404,7.216795,-1.4444232,0.5193253,0.8965068,-1.4274409,0.4704563
7.091971,-1.2074473,0.43648183,10.8419,-1.199704,0.41470268,7.5419626,-1.206518,0.43386835,1.2215827,-1.2195688,0.4705764
7.09655,-1.5090873,0.3093885,10.846474,-1.5255977,0.2919991,7.5465407,-1.5110686,0.30730176,1.2261701,-1.483241,0.336611
7.6132264,-1.482732,0.07142637,11.322409,-1.3062745,-0.45138454,8.058329,-1.4615571,0.00868906,1.8066257,-1.7589705,0.88986945
7.692218,-1.584932,0.33022586,11.43828,-1.6225958,0.16258462,8.141746,-1.5894516,0.3101089,1.8278834,-1.5259703,0.59266263
8.189989,-1.5346079,0.16313073,11.906774,-1.335714,-0.29343453,8.636003,-1.5107405,0.10834289,2.371486,-1.8459696,0.8778684
8.1720705,-1.9528812,0.5373888,11.895099,-2.1413987,0.12992465,8.618834,-1.9755033,0.4884931,2.343795,-1.6577635,1.1752604
8.096223,-2.0253189,0.12169031,11.821678,-2.1903493,-0.27359298,8.543278,-2.0451226,0.074256316,2.264147,-1.766969,0.7404931
6.864488,-1.6430421,0.5303195,10.574554,-1.5973384,-0.01357006,7.309696,-1.6375576,0.46505278,1.0565023,-1.7145896,1.3817606
8.0189705,-1.1794876,0.3997783,11.76892,-1.1706036,0.41720134,8.468965,-1.1784215,0.40186906,2.1485503,-1.1933953,0.3725031
7.2548676,-1.4713216,0.18310918,10.989178,-1.3878574,-0.14925279,7.702985,-1.4613059,0.14322574,1.4089303,-1.6019821,0.70341074
8.327888,-1.8955109,0.54134554,12.044563,-2.1164546,0.09412626,8.773889,-1.9220241,0.4876792,2.5095553,-1.549631,1.2414523
7.440602,-1.4375468,0.5833288,11.15423,-1.3204746,0.0756318,7.886237,-1.4234982,0.52240515,1.6270397,-1.6208196,1.3781116
7.4089684,-1.1748846,0.43762204,11.122536,-1.548315,0.07366612,7.8545966,-1.2196962,0.39394733,1.5955018,-0.5902915,1.0073829
6.957635,-1.6411191,0.29043177,10.676762,-1.8118519,-0.15839167,7.40393,-1.6616071,0.23657297,1.1354649,-1.373843,0.9930499
7.408439,-1.3100686,0.3239938,11.147804,-1.028108,0.33600658,7.857163,-1.2762333,0.32543534,1.554587,-1.7514688,0.30518824
6.7952166,-1.5858028,0.5103678,10.545049,-1.5608104,0.4851427,7.2451963,-1.5828037,0.5073408,0.9249799,-1.6249275,0.5498568
7.311022,-1.44106,0.02489754,11.057413,-1.5550643,-0.09364451,7.7605886,-1.4547405,0.010672495,1.4461704,-1.2625899,0.21047117
6.9134083,-1.8667232,0.12632312,10.636446,-2.101415,-0.2563099,7.3601727,-1.8948861,0.08040716,1.0851164,-1.499321,0.72532237
7.1218657,-1.9573307,0.19279353,10.845829,-2.0548334,-0.23742792,7.5687413,-1.969031,0.14116696,1.2921252,-1.8046933,0.86629087
7.5508966,-1.9788504,0.6399377,11.263424,-2.2143924,0.16648233,7.9964,-2.0071154,0.5831231,1.7390587,-1.6101174,1.3811164
